,name,brain_neurons,left,right,sink,preliminary_LN,partially_differentiated,motor,unsplittable,class1,all_class1,n_class1,class2,all_class2,n_class2,merge_class,paper_clustered_neurons,center,ipsilateral_axon,contralateral_axon,bilateral_axon,incomplete,MBON_special-cases,accessory_neurons,duplicated_neurons,developmental_defect,missing_axon,missing_dendrite,duplicated_neurons_to_delete,brain_and_inputs,very_incomplete,axon_lat,outputs,inputs,a1_ascending,sensory,a1_sensory,reconstruction_incomplete,io,sensories,PNs,LHNs,MBINs,KCs,MB-FBNs,CNs,dSEZs,dVNCs,RGNs,pre-dVNCs,ascendings,MBONs,pre-dSEZs,FFNs,PNs-somato,LNs,simple_group,all_simple_groups,n_simple_groups,color,hemisphere,pair,pair_id,lineage,axon_output,axon_input,dendrite_output,dendrite_input,considered,selected,selected_lcc,sum_walk_sort,predicted_pair,predicted_pair_id,has_valid_predicted_pair,latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9,latent_10,latent_11,latent_12,latent_13,latent_14,latent_15,has_embedding,dc_level_1_n_components=10_min_split=32,dc_level_2_n_components=10_min_split=32,dc_level_3_n_components=10_min_split=32,dc_level_4_n_components=10_min_split=32,dc_level_5_n_components=10_min_split=32,dc_level_6_n_components=10_min_split=32,dc_level_7_n_components=10_min_split=32,dc_level_8_n_components=10_min_split=32,dc_level_0_n_components=10_min_split=32,sum_signal_flow,sum_signal_flow_asc,sum_rank_signal_flow,_inds
10681487,BLP12 claw 1 right; BLP12 a 3,True,False,True,False,False,False,False,False,unk,[],0,,[],0,unk,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,ipsi,False,False,False,False,False,False,inter,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,unk,[],0,#ACAAC8,R,2379544,12,BLP12_r,147.0,23.0,2.0,46.0,True,True,True,0.5555555555555556,2379544.0,12.0,True,-0.0039214395531997,0.0422920138872854,0.0220626171698127,-0.0736242834275482,-0.0294935546052645,0.0331445234905808,0.0456393323326848,0.0293788702299211,0.0628259057092581,0.0290411733461734,-0.0079385357448954,0.005575777876198,0.0566438907388675,0.0254172252324133,-0.0061646913058882,-0.0049950672523267,True,2.0,5.0,12.0,26.0,53.0,97.0,159.0,227.0,0.0,0.1421401446366763,-0.1421401446366763,1229.0,2876
10627239,"Bilateral above BPL, DS BTL4_right",True,False,True,False,False,False,False,False,unk,[],0,,[],0,unk,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,bi,False,False,False,False,False,False,inter,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,pre-dVNCs,['pre-dVNCs'],1,#E0B1AD,R,2438653,13,DPLl_r,428.0,23.0,0.0,164.0,True,True,True,0.75,2438653.0,13.0,True,-0.0064007630341319,0.0506691000630777,-0.0113434107712801,-0.0971857422348023,-0.0786600880190182,-0.0563100476599449,-0.1054624257947324,-0.0098483500341839,-0.0014985851358618,-0.0039238083496644,0.0180811069722939,-0.0271401334280647,0.033455971000717,0.0512577840554725,-0.0078972025117546,0.0527504265720964,True,1.0,3.0,7.0,16.0,34.0,70.0,126.0,198.0,0.0,-0.0641251397751425,0.0641251397751425,1457.0,2849
3814853,T3: PVLr_right,True,False,True,False,False,False,False,False,LHN,['LHN'],1,,[],0,LHN,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,bi,False,False,False,False,False,False,inter,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,LHNs,['LHNs' 'pre-dSEZs'],2,#D4E29E,R,2439067,14,BLAvm post_r,343.0,57.0,2.0,294.0,True,True,True,0.5,2439067.0,14.0,True,-0.0128043701319862,0.0607331700681739,0.0273808126451132,-0.1279013628489209,-0.0601981969483558,0.012538819203044,-0.0002524024159657,0.0915222494383121,0.0337989239059865,-0.0002429412862433,0.052034470952966,-0.0283946144281266,-0.0468052915000832,0.0136994440644301,0.0186242117841357,0.064006766211413,True,2.0,6.0,14.0,29.0,60.0,109.0,178.0,178.0,0.0,-0.0941656176886667,0.0941656176886667,1495.0,2424
4099900,BLDa b 6_from Another temp PN (ds5th-2) right,True,False,True,False,False,False,False,False,LHN,['LHN'],1,,[],0,LHN,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,ipsi,False,False,False,False,False,False,inter,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,LHNs,['LHNs'],1,#D4E29E,R,2439134,15,BLAd-vl_r,274.0,56.0,2.0,176.0,True,True,True,0.5,2439134.0,15.0,True,-0.0306681314265582,0.1482815757454992,-0.0577568717902464,-0.1083082716823905,0.070641791923955,0.0245073403186803,0.1065774120995402,0.071098096687064,0.0579559643417408,0.0562115480194862,-0.0870250218388176,0.086242988971506,-0.0264472928190969,0.0828907212272535,0.0790726466105756,0.0336306061609266,True,2.0,6.0,14.0,30.0,61.0,112.0,180.0,249.0,0.0,-0.2833501373525907,0.2833501373525907,1728.0,2353
11851588,inner bridge 2 right,True,False,True,False,False,False,False,False,LHN,['LHN'],1,,[],0,LHN,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,ipsi,False,False,False,False,False,False,inter,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,LHNs,['LHNs'],1,#D4E29E,R,2439150,16,DPLc_post_lat_r,176.0,21.0,5.0,108.0,True,True,True,0.5,2439150.0,16.0,True,-0.007637602668654,0.0780952810043099,-0.0202855820971412,-0.1100335397103263,0.0484521357323799,-0.0408260501831636,0.0341296787398778,0.025602727795004,0.1193685536932076,-0.010977977044688,0.0524680797966007,-0.0685023702520839,0.0086901007864477,0.0434683999752548,0.0299469602213574,-0.0439611538304248,True,2.0,6.0,14.0,30.0,62.0,114.0,184.0,252.0,0.0,-0.1748545911922265,0.1748545911922265,1587.0,2580
10167078,mPN iACT B1_right,True,False,True,False,False,False,False,False,mPN,['mPN'],1,multi,['mPN_subclass_multi'],1,mPN-multi,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,ipsi,False,False,False,False,False,False,inter,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,PNs,['PNs' 'pre-dVNCs' 'pre-dSEZs'],3,#1D79B7,R,2568465,17,BAlp4_r,450.0,37.0,2.0,322.0,True,True,True,0.3333333333333333,2568465.0,17.0,True,-0.0200610704279695,0.0850179475163912,0.0719192868275545,0.0047280914632039,-0.0952616316978181,0.0499964361183225,-0.0055327503912603,-0.0725627965979937,-0.05614571751681,-0.0139573655243783,0.0287757187822919,-0.0369707810406852,-0.0271923692490723,-0.0987388501289221,-0.0266211182868112,0.0019459798001248,True,2.0,5.0,12.0,26.0,54.0,100.0,166.0,236.0,0.0,0.3229254573018544,-0.3229254573018544,1019.0,2869
3158085,AF5: Short-presynaptic-D-1L,True,False,True,False,False,False,False,False,unk,[],0,,[],0,unk,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,ipsi,False,False,False,False,False,False,inter,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,pre-dVNCs,['pre-dVNCs' 'pre-dSEZs'],2,#E0B1AD,R,2597151,18,DPLc_post_lat_r,244.0,24.0,0.0,164.0,True,True,True,0.875,2597151.0,18.0,True,-0.0087408077598507,0.0706822733318935,-0.0341782728790113,-0.078545950761004,0.0634769847501676,-0.0508932292055956,-0.0121990858935924,-0.0118315922944367,0.1239792470654494,0.0142514469242493,0.0417115442409065,-0.0534216191165076,-0.0551479990369389,0.0115570475956276,0.035335229118301,-0.0430784028091984,True,2.0,6.0,14.0,30.0,62.0,114.0,183.0,183.0,0.0,-0.7229111803339684,0.7229111803339684,2264.0,2259
4391978,mPN iACT C2 right,True,False,True,False,False,False,False,False,mPN,['mPN'],1,multi,['mPN_subclass_multi'],1,mPN-multi,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,ipsi,False,False,False,False,False,False,inter,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,PNs,['PNs' 'pre-dVNCs' 'pre-dSEZs'],3,#1D79B7,R,2612527,19,BAmv3_r,623.0,23.0,2.0,427.0,True,True,True,0.25,2612527.0,19.0,True,-0.0279197074178628,0.1454793252720623,0.1643470726316325,-0.0681511735032207,-0.0674399690754177,0.0539778957171848,0.0114670060911321,0.0409373331440574,0.0332179701068023,-0.014650209881248,0.0287074936442618,-0.0994931325074373,0.0275496301362322,-0.0487356840233799,-0.1041355863977636,0.0474876214234933,True,2.0,5.0,12.0,26.0,54.0,100.0,165.0,234.0,0.0,0.6632998579908586,-0.6632998579908586,702.0,2361
4311586,AE:BAmd2 r bilateral_right,True,False,True,False,True,False,False,False,unk,[],0,,[],0,unk,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,contra,False,False,False,False,False,False,inter,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,PNs,['PNs'],1,#1D79B7,R,2628785,20,BAmd2_v_r,236.0,53.0,89.0,102.0,True,True,True,0.3,2628785.0,20.0,True,-0.008505763553257,0.0533100378497103,0.076823159880386,-0.0007777919222857,-0.0219068960199072,0.036529509672979,0.0066717755860058,-0.0349028678691968,0.0011500428588914,0.0163056853624057,-0.0357349933150129,0.0146356556111137,-0.0106242435118855,-0.0512561076893469,-0.0068815024767791,-0.0280713312772722,True,2.0,5.0,12.0,26.0,54.0,100.0,165.0,233.0,0.0,0.8207945855244602,-0.8207945855244602,565.0,2368
12882179,BLVa_t hook 2 right -GAP,True,False,True,False,False,False,False,False,unk,[],0,,[],0,unk,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,ipsi,False,False,False,False,False,False,inter,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,unk,[],0,#ACAAC8,R,2652641,21,BLVa_t_r,160.0,33.0,0.0,65.0,True,True,True,0.5,2652641.0,21.0,True,0.0003942308817625,0.0024596351927278,0.0003437404717558,-0.0186394875643108,-0.0245496472098307,-0.0173506927105854,-0.0598279859832739,0.0658100534896271,-0.0202974937618923,-0.0198394754024062,-0.0196442023024969,0.0275690742300751,-0.0140714983704807,0.0069420371927938,0.029927105097517,-0.0532902959733897,True,1.0,4.0,10.0,22.0,45.0,87.0,150.0,150.0,0.0,0.7956083753219133,-0.7956083753219133,583.0,2520
13713529,DPLc_post_med descending right,True,False,True,False,True,False,False,False,unk,[],0,,[],0,unk,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,ipsi,False,False,False,False,False,False,inter,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,pre-dVNCs,['pre-dVNCs' 'pre-dSEZs'],2,#E0B1AD,R,2797480,22,DPLc_post_med_r,106.0,12.0,90.0,107.0,True,True,True,0.6363636363636364,2797480.0,22.0,True,-0.0107095268203467,0.0647049538249939,0.0595345887328624,-0.0025988931291074,-0.0677573515850361,0.0365176803656531,-0.0004602262564127,-0.0737881983961777,-0.0526293741345525,-0.0715788608805001,-0.0089912500829243,-0.0085521351632381,-0.0197734713519377,-0.056496148977356,-0.0555098292093375,-0.0549570427829019,True,2.0,6.0,14.0,29.0,59.0,107.0,174.0,244.0,0.0,0.0695806037688836,-0.0695806037688836,1310.0,2519
10855798,DPLd C neuron right,True,False,True,False,False,False,False,False,unk,[],0,,[],0,unk,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,ipsi,False,False,False,False,False,False,inter,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,pre-dVNCs,['pre-dVNCs'],1,#E0B1AD,R,2964760,23,DPLd_r,98.0,8.0,0.0,16.0,True,True,True,1.0,2964760.0,23.0,True,-0.0038340321614278,0.0285660772453449,-0.0139495779701204,-0.0086010298551963,-0.0084735300990737,-0.0067380873786074,-0.004299089537042,-0.0166766581845553,-0.0090205643175003,-0.021932071223952,0.0316001128138709,-0.0257556710632775,0.0241404488704048,0.0188900284717032,0.0064330172232308,-0.0129885025142502,True,1.0,3.0,7.0,15.0,32.0,65.0,118.0,192.0,0.0,-0.0880445605635366,0.0880445605635366,1491.0,2897
12704069,K ; DPLam med _right,True,False,True,False,False,False,False,False,LHN;CN,['FBN' 'LHN' 'CN'],3,,[],0,LHN;CN,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,bi,False,False,False,False,False,False,inter,False,False,True,False,False,True,True,False,False,False,False,False,False,True,False,False,False,MB-FBNs,['LHNs' 'MB-FBNs' 'CNs' 'pre-dSEZs'],4,#C144BC,R,2966602,24,DPLd_r,378.0,58.0,3.0,320.0,True,True,True,0.5333333333333333,2966602.0,24.0,True,-0.0399845264705498,0.1420960753262871,-0.0477775289875612,-0.0758192718896677,0.0920847703654928,-0.0237280558252845,0.053037645225801,0.0461822310010902,0.0073303379706315,-0.2424544684926141,0.1635827334337554,-0.1137211489373165,-0.0985255780119698,-0.0249499024982235,0.0675388227040611,0.0006068117548194,True,2.0,6.0,13.0,28.0,58.0,105.0,105.0,105.0,0.0,-0.623139030764323,0.623139030764323,2162.0,2558
9585145,GX; Right ,True,False,True,False,False,False,False,False,LHN,['LHN'],1,,[],0,LHN,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,bi,False,False,False,False,False,False,inter,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,LHNs,['LHNs' 'pre-dSEZs'],2,#D4E29E,R,2979486,25,DPLd_r,199.0,26.0,3.0,81.0,True,True,True,0.5,2979486.0,25.0,True,-0.0149862959979909,0.053349928451437,0.0067337865349684,-0.0390582113575421,0.0020491876688266,0.0233987886676065,0.0087171762503292,0.0329929661929384,0.0060455835526115,-0.1199522705945293,0.1217490236972003,-0.0961595768513661,-0.0789831015182584,-0.0161149821012603,0.0224850319806552,0.0277150078986311,True,2.0,6.0,14.0,30.0,62.0,113.0,181.0,181.0,0.0,-0.1322197124082448,0.1322197124082448,1538.0,2916
7422253,DPLam Talon 1 right; DALl1 4,True,False,True,False,False,False,False,False,unk,[],0,,[],0,unk,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,ipsi,False,False,False,False,False,False,inter,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,pre-dVNCs,['pre-dVNCs'],1,#E0B1AD,R,2979675,26,DPLam_r,101.0,18.0,4.0,107.0,True,True,True,1.0,2979675.0,26.0,True,-0.0002323827701606,0.0200475878873576,-0.0034140934824896,-0.0408007176774311,-0.0344171967228835,-0.0189735372789997,-0.0718029012994818,0.0569962579230415,-0.0066090894826081,-0.008454567749743,0.0312008893526049,-0.0339533278170097,-0.0212876046613462,-0.0047736319203857,-0.0318891540010589,0.0762135637610843,True,1.0,3.0,7.0,16.0,33.0,67.0,67.0,67.0,0.0,-0.4196046411224355,0.4196046411224355,1921.0,2191
19046339,Two-headed cobra right,True,False,True,False,False,False,False,False,unk,[],0,,[],0,unk,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,ipsi,False,False,False,False,False,False,inter,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,pre-dVNCs,['pre-dVNCs' 'pre-dSEZs'],2,#E0B1AD,R,2988292,27,unk,375.0,21.0,3.0,143.0,True,True,True,0.6666666666666667,2988292.0,27.0,True,-0.0092728869272354,0.0669511363965818,0.0126896431613566,-0.0501595643549837,-0.1096939272708207,0.0484912525687865,-0.0578520870329887,-0.0129430132549728,-0.0257767311346856,0.0025526507621406,0.036255857207177,-0.0444240281878533,-0.0474971480895068,-0.0755503633854006,-0.0928472977610404,0.0994906366018836,True,2.0,6.0,14.0,29.0,59.0,108.0,176.0,246.0,0.0,-0.1264857032081214,0.1264857032081214,1531.0,1535
16181130,SLO_right,True,False,True,False,False,False,False,False,unk,[],0,,[],0,unk,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,bi,False,False,False,False,False,False,inter,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,unk,[],0,#ACAAC8,R,3043970,28,DPMl_ant_ven_r,309.0,75.0,0.0,86.0,True,True,True,0.5454545454545454,3043970.0,28.0,True,-0.0067092424100182,0.0598334532367341,-0.0095192389692721,-0.0784672837768736,-0.0867054943159233,0.0504944874257861,0.013346499879512,-0.1481185282585318,-0.0473264561240364,-0.0015164685895132,-0.0538077387389868,0.0790675022366499,-0.1705569006843068,0.1375058224448226,0.1419973086015305,0.0212198963644009,True,2.0,6.0,14.0,29.0,59.0,107.0,174.0,244.0,0.0,-0.3020647238613362,0.3020647238613362,1751.0,1718
6317793,DPLc1 Descending R,True,False,True,False,False,False,False,False,dSEZ,['dSEZ'],1,,[],0,dSEZ,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,contra,True,False,False,False,False,False,output,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,dSEZs,['dSEZs' 'pre-dVNCs' 'pre-dSEZs'],3,#D88052,R,3044500,29,DPMl_ant_ven_r,408.0,47.0,142.0,340.0,True,True,True,0.8333333333333334,3044500.0,29.0,True,-0.0062270538516879,0.0768030919294576,-0.0502410294147293,-0.0581517922021285,-0.0480906359015896,-0.1545488281138228,-0.1553307995386413,-0.07359738243214,0.0082233026330543,0.0466205949167625,0.0275305762062697,-0.0213253485100296,0.0948826402508599,-0.0021991371596514,-0.0070740012971348,0.0506332411722738,True,2.0,6.0,14.0,29.0,60.0,109.0,177.0,247.0,0.0,-0.7255807320942957,0.7255807320942957,2265.0,2150
